Name,Internal Name,Antigen,Company,Trials ▼,Patents,Papers,Seq,Activity by Year,symbol
imvotamab,IGM-2323,CD3,IGM Bio,3.0,2.0,,nan,,CD3E
falbikitug,"AZD0171, MSC-1",LIF,"AstraZeneca, Mosaic Bio, Northern Biologics",3.0,8.0,2.0,nan,,LIF
petosemtamab,MCLA-158,EGFR,Merus,3.0,11.0,2.0,✓,,EGFR
petosemtamab,MCLA-158,GPR49,Merus,3.0,11.0,2.0,✓,,LGR5
gatipotuzumab   >>,"PankoMab, GT-MAB 2.5-GEX",MUC1,Glycotope,3.0,15.0,7.0,✓,,MUC1
Sym021,Symphogen patent anti-PD-1,PD-1,"Les Laboratoires Servier , Symphogen",3.0,13.0,1.0,nan,,PDCD1
TK006,nan,RANKL,Jiangsu T-mab,3.0,,,nan,,TNFSF11
SAR439459,nan,TGF-β,Sanofi,3.0,10.0,,nan,,TGFB1
gatralimab   ==,"GLD52, GLD-52, GZ402668",CD52,"Genzyme, Sanofi",3.0,4.0,2.0,✓,,CD52
letaplimab,"IBI-188, IBI188",CD47,Innovent,3.0,11.0,1.0,✓,,CD47
izastobart,"HIB210, MOR210, TJ210, TJ210001, MOR044254, WBP2191",C5aR,"Biogen, I-Mab Biopharma, Morphosys",3.0,6.0,,✓,,C5AR1
anzurstobart,"CC-95251, BMS-986351",SIRPA,"BMS, Celgene",3.0,4.0,1.0,✓,,SIRPA
eltivutabart,TTX-030,CD39,"Abbvie, Tizona, Trishula",3.0,16.0,,nan,,ENTPD1
NG-350A,nan,CD40,PsiOxus,3.0,,1.0,nan,,CD40
porustobart,"HBM4003, HCAb 4003-2",CTLA4,Harbour Biomed Ltd.,3.0,6.0,2.0,✓,,CTLA4
ONO-4685,nan,CD3,Ono,3.0,11.0,,nan,,CD3E
ONO-4685,nan,PD-1,Ono,3.0,11.0,,nan,,PDCD1
vonsetamig   ==,REGN5459,BCMA,Regeneron,3.0,12.0,,nan,,TNFRSF17
vonsetamig   ==,REGN5459,CD3,Regeneron,3.0,12.0,,nan,,CD3E
dalnicastobart,LVGN7409,CD40,Lyvgen Biopharma,3.0,7.0,,✓,,CD40
cevostamab   ==,"BFCR4350A, RO-7187797, RG6160",CD3,Genentech,3.0,17.0,2.0,✓,,CD3E
cevostamab   ==,"BFCR4350A, RO-7187797, RG6160",IRTA2,Genentech,3.0,17.0,2.0,✓,,FCRL5
rezetamig   ==,JNJ-75348780,CD22,"Janssen Biotech, TeneoBio",3.0,4.0,,✓,,CD22
rezetamig   ==,JNJ-75348780,CD3,"Janssen Biotech, TeneoBio",3.0,4.0,,✓,,CD3E
acapatamab,AMG 160,CD3,nan,3.0,4.0,1.0,✓,,CD3E
acapatamab,AMG 160,PSMA,nan,3.0,4.0,1.0,✓,,FOLH1
firastotug   ==,ADG116,CTLA4,Adagene,3.0,,,nan,,CTLA4
CM326,nan,TSLP,Keymed,3.0,1.0,1.0,nan,,TSLP
AM712   ==,ASKG712,VEGF,"AffaMed, AskGene",3.0,1.0,,nan,,VEGFA
JNJ-80948543,nan,CD3,Janssen Biotech,3.0,,,nan,,CD3E
JNJ-80948543,nan,Undisclosed,Janssen Biotech,3.0,,,nan,,nan
TQB2223,TQB2252,LAG-3,Chia Tai Tianqing Pharma,3.0,4.0,,nan,,LAG3
DR-0201,nan,CD20,"Dren, Sanofi",3.0,,,nan,,MS4A1
DR-0201,nan,Undisclosed,"Dren, Sanofi",3.0,,,nan,,nan
TQB2928,nan,CD47,Chia Tai Tianqing Pharma,3.0,1.0,,nan,,CD47
GNC-077,nan,CD3,Sichuan Baili Pharma,3.0,,,nan,,CD3E
GNC-077,nan,Undisclosed,Sichuan Baili Pharma,3.0,,,nan,,nan
AMG 167,"Scl-mAb, Scl-Ab",Sclerostin,"Amgen, UCB",2.0,5.0,28.0,?,,SOST
ASG-5ME,"AGS-5, AGS-5M2.1vcMMAE",SLC44A4,"Astellas, Seattle Genetics",2.0,8.0,3.0,✓,,SLC44A4
vesencumab,"Genentech Anti-NRP1, RG7347, MNRP1685A",NRP1,Genentech,2.0,14.0,5.0,✓,,NRP1
HeFi-1,nan,CD30,NCI,2.0,1.0,,nan,,TNFRSF8
ifabotuzumab,"KB004, IIIA4, FA225-C10, fibatuzumab",EphA3,"Humanigen, KaloBios",2.0,21.0,4.0,✓,,EPHA3
lexatumumab,"ETR2-ST01, HGS-ETR2, HGS1018",DR5,HGS,2.0,4.0,6.0,✓,,TNFRSF10B
MDX-1342,nan,CD19,Medarex,2.0,3.0,1.0,?,,CD19
MDX-1411,MDX2H5,CD70,Medarex,2.0,8.0,,nan,,CD70
MEDI3617,MEDI-3617,Angiopoietin 2,"AstraZeneca, Medimmune",2.0,24.0,3.0,✓,,ANGPT2
MM-151,"P1X, P2X, P3X",EGFR,"Adimab, Merrimack",2.0,17.0,1.0,nan,,EGFR
MORAb-028,MT228,GD2,"Micromet, Morphotek",2.0,6.0,,?,,nan
vorsetuzumab mafodotin   ==,"SGN-75, h1F6-mcMMAF(4)",CD70,Seattle Genetics,2.0,36.0,7.0,nan,,CD70
XmAb 7195,nan,Fc-gamma-R2B (CD32b),Xencor,2.0,7.0,,?,,FCGR2B
XmAb 7195,nan,IgE,Xencor,2.0,7.0,,?,,nan
AGS-8M4,nan,AGS-8,Agensys,2.0,,,nan,,FNDC5
eblasakimab,"MK-6105, 10G5, 10G5H6, ASLAN004",IL-13Rα1,"Aslan, CSL, Merck (MSD)",2.0,38.0,4.0,?,,IL13RA1
AFM11,nan,CD19,Affimed,2.0,2.0,4.0,nan,,CD19
AFM11,nan,CD3,Affimed,2.0,2.0,4.0,nan,,CD3E
afasevikumab,"RG7624, NI-1401, MCAF5352A",IL-17,"Genentech, NovImmune",2.0,12.0,,✓,,IL17A
afasevikumab,"RG7624, NI-1401, MCAF5352A",IL-17F,"Genentech, NovImmune",2.0,12.0,,✓,,IL17F
MEDI-570,JMab-136,ICOS,Medimmune,2.0,10.0,,✓,,ICOS
XOMA 213,LFA102,PRLR,"Novartis, Xoma",2.0,6.0,1.0,?,,PRLR
GSK1995057   >>,"DOM1h-131-206, GSK 1995057",TNFR1,"Domantis, GSK",2.0,26.0,3.0,✓,,TNFRSF1A
DS-8895,DS-8895a,EphA2,Daiichi Sankyo,2.0,7.0,3.0,?,,EPHA2
IGN002,nan,CD20,"ImmunGene, Valor Bio",2.0,5.0,,nan,,MS4A1
PF-04382923,RN6G,Amyloid beta,Pfizer,2.0,1.0,1.0,nan,,APP
BAY 79-4620,"CA9-ADC, MN-IC",CAIX,"Bayer, Morphosys, Seattle Genetics",2.0,2.0,1.0,nan,,CA9
RO5429083   ==,H460-16-2,CD44,Roche,2.0,11.0,,?,,CD44
GSK2618960,nan,IL-7RA,GSK,2.0,7.0,2.0,?,,IL7R
MK-4166,nan,GITR,"Merck (MSD), Schering-Plough",2.0,7.0,2.0,nan,,TNFRSF18
IMGN779,"My9-6, AVE9633, Z4681A",CD33,"ImmunoGen, Jazz Pharma",2.0,29.0,1.0,✓,,CD33
tabituximab barzuxetan,"tabituximab, OTSA101",FZD10,Oncotherapy,2.0,6.0,2.0,✓,,FZD10
GSK2849330,"15D5, M5.15D5.2A1.1H10, 1D9",HER3,Glaxo Group,2.0,4.0,3.0,?,,ERBB3
crotedumab,REGN1193,GCGR,Regeneron,2.0,27.0,2.0,✓,,GCGR
Duke U. D2C7   >>,D2C7,EGFR,Duke U.,2.0,5.0,1.0,✓,,EGFR
BI 836880,nan,Angiopoietin 2,"Ablynx, Boehringer",2.0,8.0,2.0,nan,,ANGPT2
BI 836880,nan,VEGF,"Ablynx, Boehringer",2.0,8.0,2.0,nan,,VEGFA
eluvixtamab   ==,"AMG330, AMG 330",CD3,Amgen,2.0,11.0,7.0,✓,,CD3E
eluvixtamab   ==,"AMG330, AMG 330",CD33,Amgen,2.0,11.0,7.0,✓,,CD33
MK-8808   ••,nan,CD20,Merck (MSD),2.0,,,nan,,MS4A1
RG7882   ==,"DMOT4039A, MMOT0530A, RG7600",Mesothelin,"Genentech, Seattle Genetics",2.0,6.0,4.0,nan,,MSLN
pavurutamab,"BI 836908, AMG 701, AMG701",BCMA,"Amgen, Boehringer, Micromet",2.0,13.0,3.0,✓,,TNFRSF17
pavurutamab,"BI 836908, AMG 701, AMG701",CD3,"Amgen, Boehringer, Micromet",2.0,13.0,3.0,✓,,CD3E
GSK3050002,KANAb071,CK-B4,"Eisai, GSK, Morphotek",2.0,4.0,2.0,nan,,KRT4
ARX517,JNJ-95298177,PSMA,"Ambrx, Janssen Biotech",2.0,11.0,1.0,nan,,FOLH1
MGD007,nan,A33,MacroGenics,2.0,1.0,1.0,nan,,GPA33
MGD007,nan,CD3,MacroGenics,2.0,1.0,1.0,nan,,CD3E
cofetuzumab pelidotin   <<,PF-06647020,PTK7,"Pfizer, StemCentRx",2.0,11.0,3.0,nan,,PTK7
AV-380,nan,MIC-1,"AVEO, Novartis",2.0,21.0,,nan,,GDF15
CM-24,nan,CEACAM1,"cCam Bio, Famewave, Kitov, Tel-Aviv U.",2.0,21.0,,nan,,CEACAM1
AMG 570,MEDI0700,B7RP-1,"Amgen, AstraZeneca, Medimmune, Viela Bio",2.0,1.0,,nan,,ICOS
AMG 570,MEDI0700,BAFF,"Amgen, AstraZeneca, Medimmune, Viela Bio",2.0,1.0,,nan,,TNFSF13B
zeripatamig   ==,"NI-1701, TG-1801",CD19,"Light Chain Bio, NovImmune, TG Therapeutics",2.0,5.0,3.0,nan,,CD19
zeripatamig   ==,"NI-1701, TG-1801",CD47,"Light Chain Bio, NovImmune, TG Therapeutics",2.0,5.0,3.0,nan,,CD47
fazpilodemab,"BFKB8488A, RG7992",Beta-Klotho,Genentech,2.0,14.0,1.0,✓,,KLB
fazpilodemab,"BFKB8488A, RG7992",FGFR1,Genentech,2.0,14.0,1.0,✓,,FGFR1
onvatilimab,"VSTB112, JNJ-61610588, CI-8993",B7-H5,"Curis, Dartmouth, ImmuNext, Janssen Biotech",2.0,54.0,1.0,✓,,VSIR
cergutuzumab amunaleukin,"GA504, CEA-IL2v, RG7813, RO6895882",CEACAM5,Glycart,2.0,6.0,1.0,✓,,CEACAM5
zanidatamab zovodotin,"ZW49, MEDI4276, Medimmune patent anti-Her2 Bispecific",HER2/neu,Medimmune,2.0,4.0,2.0,✓,,ERBB2
tavolimab   ==,"MEDI0562, MEDI-0562, tavolixizumab",OX40,Medimmune,2.0,5.0,1.0,✓,,TNFRSF4
TK001,TMAB001,VEGF,Jiangsu T-mab,2.0,,2.0,nan,,VEGFA
tilvestamab   ==,"BGB101, BGB149",AXL,BerGenBio,2.0,26.0,1.0,✓,,AXL
AMV564,"T550, T564",CD3,"Affimed, Amphivena",2.0,6.0,2.0,nan,,CD3E
AMV564,"T550, T564",CD33,"Affimed, Amphivena",2.0,6.0,2.0,nan,,CD33
Baylor Coll.Med. anti-Her2 CAR,HER2-CAR,HER2/neu,Baylor Coll.Med.,2.0,1.0,,nan,,ERBB2
CAR-T NKR-2,CM-CS1,NKG2D,"Celdara, Celyad",2.0,,3.0,nan,,KLRK1
CSG-GPC3,nan,Glypican 3,"Carsgen, Shanghai Cancer Inst.",2.0,5.0,,nan,,GPC3
PF-05236812   <<,AAB-003,Amyloid beta,Pfizer,2.0,,1.0,nan,,APP
ERY974   <<,Chugai patent anti-GPC3 / CD3,CD3,Chugai,2.0,9.0,6.0,nan,,CD3E
ERY974   <<,Chugai patent anti-GPC3 / CD3,Glypican 3,Chugai,2.0,9.0,6.0,nan,,GPC3
obrindatamab   ==,MGD009,B7-H3,MacroGenics,2.0,1.0,1.0,✓,,CD276
obrindatamab   ==,MGD009,CD3,MacroGenics,2.0,1.0,1.0,✓,,CD3E
tidutamab,XmAb18087,CD3,Xencor,2.0,7.0,,✓,,CD3E
tidutamab,XmAb18087,SSTR2,Xencor,2.0,7.0,,✓,,SSTR2
UCART123,Cellectis patent anti-IL-3Ra CAR,IL-3Rα,Cellectis,2.0,9.0,,nan,,IL3RA
MG1113,nan,TFPI,"Green Cross, MOGAM Biotech",2.0,7.0,1.0,nan,,TFPI
resugosbart,SHR-1222,Sclerostin,Jiangsu Hengrui,2.0,8.0,1.0,nan,,SOST
ALXN1830,SYNT001,FcRn,Syntimmune,2.0,8.0,1.0,nan,,FCGRT
MEDI4920,MR1,CD40L,Medimmune,2.0,,1.0,nan,,CD40LG
Baylor anti-CD30 CAR,nan,CD30,Baylor Coll.Med.,2.0,2.0,1.0,nan,,TNFRSF8
duvortuxizumab,"MGD011, JNJ-64052781",CD19,"Janssen Biotech, MacroGenics",2.0,3.0,,✓,,CD19
duvortuxizumab,"MGD011, JNJ-64052781",CD3,"Janssen Biotech, MacroGenics",2.0,3.0,,✓,,CD3E
PMN310,5000,Amyloid beta,"Aptevo, ProMIS, U.British Columbia",2.0,33.0,1.0,nan,,APP
ASP8374,PTZ-201,TIGIT,"Astellas, Potenza",2.0,2.0,,nan,,TIGIT
RPH-001   ••,"RPH101, RPH-101",VEGF-A,"R-Pharm, TRPharm",2.0,,,nan,,VEGFA
pradusinstobart,LVGN3616,PD-1,Lyvgen Biopharma,2.0,3.0,,nan,,PDCD1
APVO436,APVO437,CD3,Aptevo,2.0,1.0,,nan,,CD3E
APVO436,APVO437,IL-3Rα,Aptevo,2.0,1.0,,nan,,IL3RA
ALX-1141,M6495,ADAMTS5,"Ablynx, Merck Serono, Novartis",2.0,1.0,,nan,,ADAMTS5
SEA-BCMA   ==,"hSG16.17, hSG16.45",BCMA,Seattle Genetics,2.0,11.0,,nan,,TNFRSF17
betifisolimab,"MSB-2311, MSB2311",PD-L1,"Mabspace, Transcenta",2.0,4.0,1.0,nan,,CD274
vopikitug,"RO7296682, RG6292",IL-2Rα,"Cancer Research Technology, Roche, Tusk",2.0,40.0,2.0,nan,,IL2RA
Gentuximab,nan,VEGFR-2,GeneScience,2.0,,,nan,,KDR
BI 765063   ==,"OSE-172, BI765063",SIRPA,"Boehringer, OSE Immunotherapeutics",2.0,18.0,,nan,,SIRPA
nofazinlimab,CS1003,PD-1,CStone Pharma,2.0,4.0,4.0,✓,,PDCD1
CS1002,nan,CTLA4,CStone Pharma,2.0,,1.0,nan,,CTLA4
ASP1948,PTZ-239,NRP1,"Astellas, Potenza",2.0,3.0,,nan,,NRP1
IBI939,IBI-939,TIGIT,Innovent,2.0,5.0,,nan,,TIGIT
IBI315   ==,IBI-315,HER2/neu,"Beijing Hanmi, Innovent",2.0,9.0,1.0,nan,,ERBB2
IBI315   ==,IBI-315,PD-1,"Beijing Hanmi, Innovent",2.0,9.0,1.0,nan,,PDCD1
PAR650097,"MEDI2344, MEDI0618",PAR-2,"AstraZeneca, Medimmune",2.0,6.0,2.0,nan,,F2RL1
pelgifatamab,"BAY 2315497, BAY2315497, PSMA-TTC, BAY3546828, Actinium-225-macropa-pelgifatamab",PSMA,Bayer,2.0,,3.0,nan,,FOLH1
SHR-1703,nan,IL-5,Jiangsu Hengrui,2.0,7.0,1.0,nan,,IL5
lesabelimab,"LDP, BC003",PD-L1,Dragonboat Biopharma,2.0,,,nan,,CD274
AK111,nan,IL-17,Akeso,2.0,2.0,1.0,nan,,IL17A
alpitatug satetraxetan (225Ac),"actinium (225Ac) alpitatug satetraxetan, h5A10, h11B6",Kallikrein-2,"Diaprost, Janssen Biotech",2.0,15.0,1.0,✓,,KLK2
muzastotug   ==,ADG126,CTLA4,Adagene,2.0,17.0,,nan,,CTLA4
A-319,nan,CD19,"Generon, ITabMed",2.0,6.0,1.0,nan,,CD19
A-319,nan,CD3,"Generon, ITabMed",2.0,6.0,1.0,nan,,CD3E
SYS6023,DP303c,HER2/neu,CSPC Pharma,2.0,1.0,1.0,nan,,ERBB2
BAT2506   ••,nan,TNF-alpha,Bio-Thera Solutions,2.0,2.0,1.0,nan,,TNF
REGN6490,nan,IL1RL2,Regeneron,2.0,6.0,,nan,,IL1RL2
YH004,nan,4-1BB,Eucure,2.0,5.0,,nan,,TNFRSF9
BYON4228,nan,SIRPA,Byondis,2.0,6.0,,nan,,SIRPA
PTX-35   ==,nan,DR3,"Heat Bio, Pelican",2.0,3.0,,nan,,TNFRSF25
OKT10-B10,211At-OKT10-B10,CD38,FHCRC,2.0,,,nan,,CD38
HS-20090   ••,nan,RANKL,Hansoh Pharma,2.0,,,nan,,TNFSF11
PersonGen anti-CD276 CAR,nan,B7-H3,PersonGen,2.0,4.0,,nan,,CD276
JS006,TAB006,TIGIT,Shanghai Junshi,2.0,4.0,,nan,,TIGIT
CLN-619,nan,MICA,Cullinan Oncology,2.0,6.0,1.0,nan,,MICA
CLN-619,nan,MICB,Cullinan Oncology,2.0,6.0,1.0,nan,,MICB
VIS954,nan,C5aR,Visterra,2.0,14.0,,nan,,C5AR1
SYSA1801,CPO102,CLDN18,CSPC Pharma,2.0,2.0,1.0,nan,,CLDN18
MRG001,nan,CD20,Shanghai Miracogen,2.0,2.0,,nan,,MS4A1
IBI325,nan,NT5E,Innovent,2.0,2.0,1.0,nan,,NT5E
TORL-2-307-ADC,"TORL-2-307-ADC, TORL-2-307-MAB",CLDN18,TORL Bio,2.0,,,nan,,CLDN18
BAT7104   ==,nan,CD47,Bio-Thera Solutions,2.0,4.0,,nan,,CD47
BAT7104   ==,nan,PD-L1,Bio-Thera Solutions,2.0,4.0,,nan,,CD274
HLX35,HLX035,4-1BB,Shanghai Henlius,2.0,1.0,,nan,,TNFRSF9
HLX35,HLX035,EGFR,Shanghai Henlius,2.0,1.0,,nan,,EGFR
JS019,nan,CD39,Shanghai Junshi,2.0,,,nan,,ENTPD1
Cyramza   ••,"CYRAMZA, Chia Tai Tianqing Pharma bevacizumab biosimilar",VEGF,Chia Tai Tianqing Pharma,2.0,,,nan,,VEGFA
HLX60,nan,GARP,Shanghai Henlius,2.0,,,nan,,LRRC32
ONC-841,nan,Siglec-10,"Merck (MSD), OncoC4",2.0,2.0,,nan,,SIGLEC10
AK006,nan,Siglec-6,Allakos,2.0,4.0,,nan,,SIGLEC6
PF-07329640,nan,LT Beta R,Pfizer,2.0,2.0,,nan,,LTBR
GR2002,GR-2002,TSLP,Genrix Biopharma,2.0,,1.0,nan,,TSLP
BMS-986393,CC‑95266,GPRC5D,BMS,2.0,,,nan,,GPRC5D
BAY3547922,nan,Undisclosed,Bayer,2.0,,,nan,,nan
TQB2101,nan,ROR1,"Chia Tai Tianqing Pharma, Nanjing Shunxin Pharma",2.0,1.0,,nan,,ROR1
IBI3020,nan,CEACAM5,Innovent,2.0,,,nan,,CEACAM5
pasritamig,JNJ-78278343,CD3,Janssen Biotech,2.0,,1.0,nan,,CD3E
pasritamig,JNJ-78278343,Kallikrein-2,Janssen Biotech,2.0,,1.0,nan,,KLK2
XmAb 2513,AC10,CD30,"Seattle Genetics, Xencor",1.0,6.0,2.0,?,,TNFRSF8
BIIB015,Anti-Cripto Mab + DM4,Cripto,"Biogen, ImmunoGen",1.0,10.0,1.0,?,,TDGF1
citatuzumab bogatox,"VB6-845, 4D5MOC-B",EpCAM,"Univ. Zurich, Viventia",1.0,18.0,1.0,✓,,EPCAM
priliximab,"Centara, cM-T412, M-T412, CEN 000029, MT 412, cMT 412",CD4,Centocor,1.0,,,nan,,CD4
CNTO 5825,nan,IL-13,Centocor Ortho,1.0,,3.0,nan,,IL13
enavatuzumab,PDL192,TWEAKR,"Abbvie, Facet, PDL",1.0,5.0,4.0,✓,,TNFRSF12A
MTRX1011A   <<,Genentech Anti-CD4,CD4,"Genentech, Tolerx",1.0,6.0,3.0,nan,,CD4
flanvotumab,"IMC-20D7S, TA99, 20D7",TYRP1,ImClone,1.0,4.0,4.0,✓,,TYRP1
LY3022856,"IMC-3C5, hF4-3C5",FLT4,"Circadian, ImClone, Lilly",1.0,5.0,2.0,✓,,FLT4
IMC-EB10,nan,FLT3,ImClone,1.0,5.0,6.0,✓,,FLT3
narnatumab,"IMC-RON8, LY3012219",RON,ImClone,1.0,4.0,2.0,✓,,MST1R
IMGN388   <<,nan,Integrin αV,ImmunoGen,1.0,1.0,,nan,,ITGAV
ING-1,heMab,EpCAM,Xoma,1.0,2.0,4.0,nan,,EPCAM
MDX-1203,MDX69A7,CD70,Medarex,1.0,6.0,,nan,,CD70
MDX-1401,nan,CD30,"BioWa, Medarex",1.0,1.0,1.0,nan,,TNFRSF8
MEDI-547,"1C1, EP101",EphA2,"AstraZeneca, Medimmune",1.0,13.0,11.0,✓,,EPHA2
MiK-Beta-1,hu MiK-Beta-1,IL-2RB,Roche,1.0,,,nan,,IL2RB
PG110   <<,"ABT-110, frunevetmab",NGF,"Abbott, PanGenetics, Zoetis",1.0,34.0,1.0,✓,,NGF
enoticumab,"SAR153192, REGN421",DLL4,"Regeneron, Sanofi",1.0,35.0,2.0,✓,,DLL4
SAR566658   ==,huDS6-DM4,CA6,"ImmunoGen, Sanofi",1.0,9.0,2.0,nan,,CA6
SAR566658   ==,huDS6-DM4,MUC1,"ImmunoGen, Sanofi",1.0,9.0,2.0,nan,,MUC1
taplitumomab paptox,B43,CD19,NCI,1.0,,,nan,,CD19
VGX100,nan,VEGF-C,Circadian,1.0,2.0,,✓,,VEGFC
PF-05230905   ==,ATN-192,TNF-alpha,"Ablynx, Pfizer",1.0,,,nan,,TNF
ALX-0651,nan,CXCR4,Ablynx,1.0,4.0,,nan,,CXCR4
PF-04605412,"PF-4605412, PF-5412",Integrin α5β1,"Pfizer, Xencor",1.0,,2.0,nan,,ITGA5
CEP-37250,KHK2804,Undisclosed,"Cephalon, KHK, Teva",1.0,,,nan,,nan
AGS-16M18   ==,nan,ENPP3,"Agensys, Astellas",1.0,,1.0,nan,,ENPP3
GSK2434735,DOM-0910,IL-13,Domantis,1.0,3.0,,nan,,IL13
